Name,Duration,Genre,Rating
"Atithee",128,Drama,6
"Atkan Chatkan",116,Drama,8.2
"Aulad Ke Dushman",142,Drama,3.8
"Aurangzeb",147,Action,6.5
"Aurat",144,Drama,7.2
"Aurat Teri Yehi Kahani",139,Drama,4.2
"Auzaar",137,Action,4.5
"Avalude Ravukal",134,Drama,6.5
"Avinash",181,Action,6
"Avsar",60,Drama,6
"Awaara",183,Drama,7.9
"Awaargi",139,Drama,5.9
"Awaaz",160,Action,6.2
"Awara Paagal Deewana",168,Action,6.2
"Awarapan",136,Action,7.3
"Aya Sawan Jhoom Ke",163,Drama,6.2
"Ayudha Pooja",147,Action,5.5
"Azaad",173,Action,7.2
"Azaad",164,Action,7.2
"Azaad Desh Ke Gulam",163,Action,5
"Azad",130,Drama,7.1
"B for Bundelkhand",107,Drama,8.8
"B.A. Pass 2",115,Drama,2.1
"B.A. Pass 3",126,Drama,8.3
"Baa Baaa Black Sheep",113,Action,6.4
"Baabul",159,Drama,5.4
"Baadshah",185,Action,6.9
"Baadshaho",146,Action,4.9
"Baaghi",166,Action,4.2
"Baaghi 2",147,Action,4.8
"Baaghi: A Rebel for Love",167,Action,5.7
"Baaki Itihaas",117,Drama,7.3
"Baar Baar Dekho",151,Action,5.3
"Baarood (The Fire) - A Love Story",145,Action,3.2
"Baaz",150,Action,7.3
"Baazi",135,Action,6.3
"Baazi",193,Action,6.5
"Babu",138,Drama,7.1
"Babul",132,Drama,7.3
"Babul",152,Drama,4.8
"Babula",119,Drama,5.9
"Babumoshai Bandookbaaz",132,Action,6.9
"Baby",169,Action,8
"Bachpan",143,Action,6.3
"Back to Dad",110,Drama,8.2
"Bada Kabutar",154,Action,5
"Badal",156,Action,6.7
"Badal",160,Action,7
"Badal",176,Action,4.9
"Badaltey Rishtey",126,Drama,6.7
"Bade Dil Wala",136,Drama,6.3
"Bade Ghar Ki Beti",128,Drama,6
"Bade Miyan Chote Miyan",150,Action,5.8
"Badhu Nirupama",136,Drama,6.9
"Badi Bahen",120,Drama,5.4
"Badi Maa",112,Drama,5.4
"Badkaar",119,Drama,6.7
"Badla Aur Balidan",144,Action,7.6
"Badlapur Boys",113,Drama,4.7
"Badle Ki Aag",168,Action,4.8
"Badmaash",129,Action,2.5
"Badnam Basti",90,Drama,6.6
"Baga Beach",93,Drama,5.9
"Baghavat",154,Action,6.4
"Baghban",149,Drama,7.2
"Baghban",171,Drama,7.4
"Bagpat Ka Dulha",127,Drama,5.5
"Baharen Phir Bhi Aayengi",129,Drama,7.1
"Baharon Ke Sapne",161,Drama,7.6
"Bahen",146,Drama,6
"Bahu Beti",122,Drama,6.5
"Bahu Ki Awaaz",137,Drama,6.3
"Bahurani",123,Drama,6.8
"Baiju Bawra",155,Drama,7.4
"Bajirao Mastani",168,Action,7.2
"Bajrangi Bhaijaan",173,Action,8
"Balidaan",147,Action,5.6
"Balidaan",127,Drama,6.8
"Ballad of Rustom",107,Drama,8.1
"Balwaan",152,Action,4.3
"Banaras",118,Drama,3.2
"Banarasi Thug",135,Drama,6.1
"Bandh Darwaza",155,Action,5.1
"Bandhan",164,Action,4.8
"Bandhan",149,Drama,7.2
"Bandhan Kuchchey Dhaagon Ka",114,Drama,7.1
"Bandhe Haath",149,Action,5.8
"Bandi",125,Drama,6.2
"Bandini",147,Drama,7.7
"Bandish",162,Action,6.1
"Bang Bang",163,Action,5.6
"Banjaran",135,Drama,5.1
"Banjo",147,Action,4.9
"Bank Chor",130,Action,5.9
"Banwra",138,Drama,6
"Barbed Wired",109,Drama,5.6
"Bardaasht",165,Action,5.9
"Barood",150,Action,6
"Barood",169,Action,4.7
"Barsaat",161,Drama,7.7
"Barsaat",176,Action,5.4
"Barsaat Ki Raat",132,Drama,6.9
"Bas Itna Sa Khwaab Hai...",159,Drama,3.7
"Basant",136,Drama,6.8
"Baseraa",129,Drama,6.8
"Batti Gul Meter Chalu",151,Drama,6
"Batwara",211,Action,6.3
"Bawre Nain",128,Drama,6.9
"Bazaar",138,Drama,6.8
"Bazaar",110,Drama,7.3
"Beautiful",113,Drama,8.5
"Bechain",145,Action,4.8
"Bedardi",156,Action,3.9
"Begum Jaan",138,Action,5.6
"Behind the Mirror",78,Drama,5.9
"Be-Imaan",123,Drama,6.9
"Bekaraar",111,Drama,3.7
"Bekhudi",150,Action,4.6
"Benaam",107,Drama,6.8
"Benaam",116,Drama,4.4
"Benazir",148,Drama,7.3
"Bengal Tiger",131,Action,5.3
"Bepanaah",146,Drama,6.2
"Besharam",149,Action,5.4
"Besharam",153,Action,3.6
"Betaabi",178,Drama,4.4
"Betaaj Badshah",176,Action,4.8
"Beti",125,Drama,5.8
"Between The Lines",68,Drama,7.2
"Bewafa",102,Drama,7.6
"Bewafa Sanam",134,Drama,5.1
"Bewafaa",141,Drama,4.4
"Bewafai",135,Drama,5.6
"Beyond the Clouds",110,Drama,7
"Bezubaan",127,Drama,7.3
"Bhaag Johnny",128,Action,5.2
"Bhabhi",155,Drama,6.7
"Bhagam Bhag",111,Action,6
"Bhagwan Parshuram",126,Drama,8.7
"Bhagwan Shri Krishna",148,Action,6
"Bhagyawan",126,Drama,4.4
"Bhai",157,Action,5.1
"Bhai Bahen",141,Drama,4.9
"Bhai Bhai",182,Action,3.8
"Bhai Thakur",128,Action,3.2
"Bhai-Bahen",126,Drama,6
"Bhai-Bhai",154,Drama,5.8
"Bhairav",143,Action,4.6
"Bhairava Dweepam",172,Action,7.8
"Bhairavi",135,Drama,5.3
"Bhala Manus",128,Drama,4.6
"Bhamashah",73,Drama,6.2
"Bhanwar",125,Drama,6.2
"Bhasmasur",64,Drama,6.8
"Bhavesh Joshi Superhero",164,Action,7.6
"Bhavnao Ko Samjho",124,Action,4.3
"Bhikharan",133,Drama,6.2
"Bhobhar - The Live Ash",90,Drama,4.9
"Bhonsle",118,Drama,7
"Bhooka Sher",119,Action,5
"Bhookailas",164,Drama,7.1
"Bhoomi",146,Action,5.3
"Bhopal: A Prayer for Rain",86,Drama,7.2
"Bhor: Dawn",83,Drama,7.8
"Bhouri",130,Drama,6.7
"Bhrashtachar",163,Action,4.6
"Bhuddah Hoga Tera Baap",124,Action,5.6
"Bhumika",132,Drama,7.4
"Bichhoo",170,Action,5
"Bidaai",134,Drama,6.5
"Bidyapati",131,Drama,7
"Big Brother",138,Action,3.8
"Billa No. 786",150,Action,4.4
"Billa Ranga",123,Action,7.5
"Billu Ustaad",128,Drama,6.9
"Bin Badal Barsaat",144,Drama,5.7
"Bin Bulaye Baraati",143,Action,3.8
"Bin Maa Ke Bachche",121,Drama,6
"Bindiya Mange Bandook",125,Action,3.9
"Bioscopewala",81,Drama,7.6
"Biraj Bahu",135,Drama,6.2
"Black",112,Drama,8.2
"Black Cat",164,Action,6.7
"Black Friday",153,Action,8.5
"Black Mountain",73,Drama,6.6
"Blackmail",135,Drama,6.7
"Blackmail",136,Action,4.1
"Blank",117,Action,6.2
"Blood Money",119,Action,5
"Blue",129,Action,3.7
"Blue Mountains",124,Drama,5.7
"Bodyguard",140,Action,4.7
"Boichek",75,Drama,6.3
"Bol Bachchan",165,Action,5.5
"Bol Radha Bol",174,Action,6.1
"Bollywood Diaries",115,Drama,6
"Bolo Raam",113,Action,5.2
"Bomb Blast",163,Action,6.4
"Bombai Ka Babu",144,Drama,7
"Bombay Talkies",117,Drama,6.7
"Bombay to Goa",142,Action,6.8
"Bond of Love",164,Drama,5.1
"Boond",147,Action,4.2
"Border",186,Action,7.9
"Border Kashmir",117,Action,2.9
"Boss",153,Action,5.1
"Brother, Superhit!",149,Action,3.9
"Bub (Father)",104,Drama,7.6
"Bubble Gum",106,Drama,7.3
"Bulandi",185,Action,5.4
"Bulbul Can Sing",85,Drama,6.8
"Bullet",134,Action,6.9
"Bullet: Ek Dhamaka",147,Action,3.6
"Bullett Raja",148,Action,5
"Bumm Bumm Bole",114,Drama,6.1
"Bunker",88,Drama,6.8
"C U at 9",85,Drama,4.1
"C.I.D.",156,Action,7.3
"C.I.D. 909",133,Action,5.8
