Name,Duration,Genre,Rating
Paap Ki Kamaee,170,Action,5.2
Paar,131,Drama,7.6
Pagdi: The Honour,88,Drama,5.8
Palki,150,Drama,5.5
Palkon Ki Chhaon Mein,117,Drama,7.6
Param Dharam,135,Action,5.9
Parasuram,152,Action,4.3
Pardes,181,Drama,7
Pareshaan Parinda,122,Action,4.8
Parineeta,120,Drama,7.2
Parvarish,119,Drama,6.8
Parwana,122,Action,2.2
Patang,83,Drama,6.2
Patita,115,Drama,5.8
Patth,147,Drama,4.6
Patthar Aur Payal,160,Action,6.6
Patthar Ke Phool,165,Action,5.6
Pavitra Paapi,142,Drama,8
Payal Ki Jhankar,142,Action,4.4
Pehchaan,148,Action,4.4
Pehchaan: The Face of Truth,163,Drama,5.7
Permission,127,Drama,8.3
Phaansi,151,Action,6.6
Phagun,126,Drama,7.3
Phantom,146,Action,5.9
Phobia,102,Drama,6.9
Phoonk,100,Drama,3.9
Photograph,100,Drama,6.9
Pihu,81,Drama,6.7
Police Aur Mujrim,156,Action,5.2
Police Officer,168,Action,3.4
Poonam,128,Drama,5.2
Poorna,110,Action,7.8
Post Box 999,125,Action,6.4
Pranaam,130,Action,4.3
Prem Deewane,170,Action,5.2
Prem Kahani,77,Drama,5.9
Priyasakhi,147,Drama,4.6
Purana Purush,146,Action,8.4
Purani Jeans,127,Drama,6.3
Pyar Ka Mandir,138,Drama,6.5
Pyar Ki Kahani,140,Drama,6.1
Q,86,Drama,6
Qayamat Se Qayamat Tak,152,Drama,7.5
Queens! Destiny of Dance,102,Drama,5.4
Raahgir,75,Drama,7.4
Raaja,130,Drama,6.2
Raakh: A Poem Masked in Blood,123,Action,3.6
Raampur Ka Lakshman,128,Drama,6.3
Raaste Kaa Patthar,123,Drama,5.7
Race,159,Action,6.7
Racket,112,Drama,7.3
Raeeszada,139,Drama,3.6
Raghuveer,161,Action,4.3
Ragini MMS,83,Drama,4.9
Raja Babu,171,Action,6.3
Rakhta Charitra 2,145,Action,6.5
Rakshak,174,Action,4.7
Ram Ki Janmabhoomi,112,Drama,6.6
Ram Tera Desh,130,Drama,5.8
Ram Teri Ganga Maili,168,Drama,6.7
Ramaiya Vastavaiya,158,Action,5.7
Ramshastri,112,Drama,6.8
Rang,140,Drama,4.8
Rangrezz,154,Action,5.1
Ranna,162,Action,6.2
Red: The Dark Side,138,Drama,3.3
Refugee,197,Drama,5.4
Religion,95,Drama,8
Reporter Raju,148,Action,5.2
Reshma Aur Shera,148,Drama,6.8
Revolver Rani,142,Action,4.5
Rihaee,148,Drama,6.7
Risk,165,Action,6.6
Road to Sangam,125,Drama,7.4
Roar: Tigers of the Sundarbans,133,Action,5.6
Rocky Handsome,129,Action,6.8
Rootha Na Karo,115,Drama,6.1
Roti,110,Drama,6.8
Rupaye Dus Karod,159,Action,5.4
Saagar,176,Drama,7.1
Saanncha,100,Drama,5.8
Saari Raat,73,Drama,5.6
Saat Hindustani,154,Action,6.5
Saaya,125,Drama,5.8
Sacred Evil,99,Drama,5.8
Sadiyaan: Boundaries Divide... Love Unites,190,Drama,4.5
Sagar Sangam,110,Drama,6.4
Saheb Biwi Aur Gangster,128,Action,7.2
Sahhas,143,Action,4.7
Sainik,155,Action,6.1
Sakalakala Vallavan,148,Action,6.6
Samar,116,Drama,7.5
Sameer,119,Drama,5.4
