Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Odi No
32,-,47,1,0,68.08,3,not out,1,v West Indies,Port of Spain,23/06/17,ODI # 3895
87,-,66,4,4,131.81,3,caught,1,v West Indies,Port of Spain,25/06/17,ODI # 3896
11,-,22,2,0,50,3,caught,1,v West Indies,North Sound,30/06/17,ODI # 3898
3,-,12,0,0,25,3,caught,2,v West Indies,North Sound,02/07/17,ODI # 3900
111,-,115,12,2,96.52,3,not out,2,v West Indies,Kingston,06/07/17,ODI # 3902
82,-,70,10,1,117.14,3,not out,2,v Sri Lanka,Dambulla,20/08/17,ODI # 3905
4,-,2,1,0,200,5,bowled,2,v Sri Lanka,Pallekele,24/08/17,ODI # 3906
3,-,11,0,0,27.27,3,caught,2,v Sri Lanka,Pallekele,27/08/17,ODI # 3907
131,-,96,17,2,136.45,3,caught,1,v Sri Lanka,Colombo (RPS),31/08/17,ODI # 3908
110,-,116,9,0,94.82,3,not out,2,v Sri Lanka,Colombo (RPS),03/09/17,ODI # 3909
0,7,4,0,0,0,3,caught,1,v Australia,Chennai,17/09/17,ODI # 3910
92,148,107,8,0,85.98,3,bowled,1,v Australia,Eden Gardens,21/09/17,ODI # 3912
28,58,35,2,0,80,3,caught,2,v Australia,Indore,24/09/17,ODI # 3914
21,23,21,3,0,100,3,bowled,2,v Australia,Bengaluru,28/09/17,ODI # 3917
39,73,55,2,0,70.9,3,caught,2,v Australia,Nagpur,01/10/17,ODI # 3919
121,203,125,9,2,96.8,3,caught,1,v New Zealand,Wankhede,22/10/17,ODI # 3928
29,40,29,3,1,100,3,caught,2,v New Zealand,Pune,25/10/17,ODI # 3931
113,166,106,9,1,106.6,3,caught,1,v New Zealand,Kanpur,29/10/17,ODI # 3932
112,164,119,10,0,94.11,3,caught,2,v South Africa,Durban,01/02/18,ODI # 3969
46,64,50,4,1,92,3,not out,2,v South Africa,Centurion,04/02/18,ODI # 3970
160,220,159,12,2,100.62,3,not out,1,v South Africa,Cape Town,07/02/18,ODI # 3971
75,119,83,7,1,90.36,3,caught,1,v South Africa,Johannesburg,10/02/18,ODI # 3973
36,76,54,2,0,66.66,3,run out,1,v South Africa,Gqeberha,13/02/18,ODI # 3976
129,123,96,19,2,134.37,3,not out,2,v South Africa,Centurion,16/02/18,ODI # 3978
75,-,82,7,0,91.46,3,stumped,2,v England,Nottingham,12/07/18,ODI # 4014
45,-,56,2,0,80.35,3,lbw,2,v England,Lord's,14/07/18,ODI # 4016
